date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2026-02-10,sh.000001,4127.7658,4134.3382,4117.5635,4128.3731,4123.0897,52462096900.0,882201747043.8,3.0,1.091173,1.0,0.128142,0.0,0.0,0.0,0.0,0.0
2026-02-11,sh.000001,4124.4277,4142.5612,4122.4283,4131.985,4128.3731,50068527800.0,822607547250.8,3.0,1.039604,1.0,0.08749,0.0,0.0,0.0,0.0,0.0
2026-02-12,sh.000001,4136.99,4140.5931,4124.1308,4134.0178,4131.985,52937011600.0,897955034838.8,3.0,1.102349,1.0,0.049197,0.0,0.0,0.0,0.0,0.0
2026-02-13,sh.000001,4115.9243,4123.8443,4079.7702,4082.0726,4134.0178,50079947200.0,846808337462.1,3.0,1.043926,1.0,-1.256531,0.0,0.0,0.0,0.0,0.0
2026-02-24,sh.000001,4129.1338,4131.5499,4105.9369,4117.4089,4082.0726,56632224900.0,938611375999.8,3.0,1.181419,1.0,0.865646,0.0,0.0,0.0,0.0,0.0
2026-02-25,sh.000001,4123.7808,4167.8438,4122.6987,4147.2305,4117.4089,72478721400.0,1085969561174.1,3.0,1.51205,1.0,0.724281,0.0,0.0,0.0,0.0,0.0
2026-02-26,sh.000001,4151.068,4152.1926,4127.1531,4146.6311,4147.2305,65170282600.0,1067198717434.1,3.0,1.361036,1.0,-0.014453,0.0,0.0,0.0,0.0,0.0
2026-02-27,sh.000001,4128.8974,4166.2344,4128.36,4162.8815,4146.6311,68204764600.0,1072367831609.8,3.0,1.422065,1.0,0.391894,0.0,0.0,0.0,0.0,0.0
2026-03-02,sh.000001,4151.8011,4188.7702,4131.3676,4182.5909,4162.8815,86157921800.0,1345892469395.2,3.0,1.801423,1.0,0.473456,0.0,0.0,0.0,0.0,0.0
2026-03-03,sh.000001,4189.4079,4197.228,4116.011,4122.676,4182.5909,92113917000.0,1425790202336.2,3.0,1.926116,1.0,-1.432483,0.0,0.0,0.0,0.0,0.0
2026-03-04,sh.000001,4087.632,4106.0397,4055.4125,4082.474,4122.676,76516953100.0,1113081986077.5,3.0,1.599678,1.0,-0.975143,0.0,0.0,0.0,0.0,0.0
2026-03-05,sh.000001,4109.777,4125.6166,4090.6213,4108.567,4082.474,68974653500.0,1068043734805.0,3.0,1.439102,1.0,0.639147,0.0,0.0,0.0,0.0,0.0
2026-03-06,sh.000001,4085.8954,4129.4647,4085.8954,4124.194,4108.567,64676576000.0,978805927053.9,3.0,1.351774,1.0,0.380352,0.0,0.0,0.0,0.0,0.0
2026-03-09,sh.000001,4098.6987,4106.5336,4052.5454,4096.6023,4124.194,79780355600.0,1194106193208.4,3.0,1.664847,1.0,-0.66902,0.0,0.0,0.0,0.0,0.0
2026-03-10,sh.000001,4098.5869,4123.9578,4098.5869,4123.138,4096.6023,67492219400.0,1036427205293.4,3.0,1.407148,1.0,0.647749,0.0,0.0,0.0,0.0,0.0
2026-03-11,sh.000001,4123.6663,4135.8392,4112.7998,4133.4331,4123.138,70772716900.0,1063600874394.3,3.0,1.469778,1.0,0.249691,0.0,0.0,0.0,0.0,0.0
2026-03-12,sh.000001,4133.1996,4141.6488,4103.1636,4129.1026,4133.4331,78615118200.0,1078215329773.1,3.0,1.634616,1.0,-0.104768,0.0,0.0,0.0,0.0,0.0
2026-03-13,sh.000001,4117.5738,4134.0794,4086.8469,4095.4485,4129.1026,79205476400.0,1063918169396.4,3.0,1.640061,1.0,-0.815046,0.0,0.0,0.0,0.0,0.0
