date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2026-02-10,sh.000003,265.2741,265.6031,264.7904,265.3108,265.2302,14962100.0,67176618.7,3.0,0.102102,1.0,0.030389,0.0,0.0,0.0,0.0,0.0
2026-02-11,sh.000003,265.7997,266.3973,265.0403,266.3934,265.3108,23924500.0,112446604.8,3.0,0.163262,1.0,0.40805,0.0,0.0,0.0,0.0,0.0
2026-02-12,sh.000003,266.2905,267.3959,265.9434,267.3929,266.3934,24938100.0,108033575.8,3.0,0.170179,1.0,0.375197,0.0,0.0,0.0,0.0,0.0
2026-02-13,sh.000003,267.117,267.3514,266.5366,267.1534,267.3929,19504300.0,93865685.1,3.0,0.133098,1.0,-0.089569,0.0,0.0,0.0,0.0,0.0
2026-02-24,sh.000003,267.4546,268.7758,266.7369,267.915,267.1534,35900100.0,193802464.8,3.0,0.244984,1.0,0.28508,0.0,0.0,0.0,0.0,0.0
2026-02-25,sh.000003,267.7221,269.1826,267.4783,268.2918,267.915,32940300.0,159986235.1,3.0,0.224786,1.0,0.140642,0.0,0.0,0.0,0.0,0.0
2026-02-26,sh.000003,268.823,269.0191,267.7723,268.7506,268.2918,28494000.0,123892016.1,3.0,0.194444,1.0,0.171008,0.0,0.0,0.0,0.0,0.0
2026-02-27,sh.000003,268.522,269.6661,268.1497,269.3852,268.7506,42528600.0,249342877.8,3.0,0.290217,1.0,0.23613,0.0,0.0,0.0,0.0,0.0
2026-03-02,sh.000003,268.9488,269.7863,267.6808,269.3279,269.3852,46689400.0,231694707.2,3.0,0.318611,1.0,-0.021271,0.0,0.0,0.0,0.0,0.0
2026-03-03,sh.000003,269.3118,269.692,264.4854,264.6614,269.3279,66035600.0,305217266.2,3.0,0.45063,1.0,-1.732646,0.0,0.0,0.0,0.0,0.0
2026-03-04,sh.000003,264.2693,265.5496,262.3702,263.9106,264.6614,33361100.0,173920590.5,3.0,0.227658,1.0,-0.283683,0.0,0.0,0.0,0.0,0.0
2026-03-05,sh.000003,264.6587,266.7716,264.6587,266.0013,263.9106,26597100.0,118293255.0,3.0,0.1815,1.0,0.7922,0.0,0.0,0.0,0.0,0.0
2026-03-06,sh.000003,265.7944,267.0161,265.3647,267.0161,266.0013,22982900.0,102102694.9,3.0,0.156837,1.0,0.381502,0.0,0.0,0.0,0.0,0.0
2026-03-09,sh.000003,268.1686,268.1686,265.6732,267.0565,267.0161,49345400.0,224982673.4,3.0,0.336735,1.0,0.01513,0.0,0.0,0.0,0.0,0.0
2026-03-10,sh.000003,266.4129,267.3473,266.2786,266.8065,267.0565,30027300.0,137015087.4,3.0,0.204907,1.0,-0.093613,0.0,0.0,0.0,0.0,0.0
2026-03-11,sh.000003,266.8435,268.1374,266.5917,268.1331,266.8065,28664900.0,106814427.3,3.0,0.195611,1.0,0.497214,0.0,0.0,0.0,0.0,0.0
2026-03-12,sh.000003,268.1655,268.5007,266.8458,267.3863,268.1331,51517200.0,172307625.1,3.0,0.351555,1.0,-0.278518,0.0,0.0,0.0,0.0,0.0
2026-03-13,sh.000003,267.4125,267.8444,265.8407,266.309,267.3863,52479400.0,185903548.4,3.0,0.358122,1.0,-0.4029,0.0,0.0,0.0,0.0,0.0
2026-03-16,sh.000003,266.3085,266.5645,263.5864,264.4787,266.309,37580700.0,150389694.6,3.0,0.256453,1.0,-0.687284,0.0,0.0,0.0,0.0,0.0
2026-03-17,sh.000003,264.2678,265.4569,263.2719,263.364,264.4787,27682900.0,103148661.7,3.0,0.188909,1.0,-0.421471,0.0,0.0,0.0,0.0,0.0
2026-03-18,sh.000003,263.426,264.8591,262.7818,264.8591,263.364,32159700.0,122508368.6,3.0,0.219459,1.0,0.567693,0.0,0.0,0.0,0.0,0.0
2026-03-19,sh.000003,264.3929,265.163,262.7003,263.618,264.8591,32288000.0,137614566.7,3.0,0.220335,1.0,-0.468589,0.0,0.0,0.0,0.0,0.0
2026-03-20,sh.000003,263.5161,263.952,259.9506,259.956,263.618,41631200.0,181788638.7,3.0,0.284094,1.0,-1.389131,0.0,0.0,0.0,0.0,0.0
2026-03-23,sh.000003,259.627,260.2201,255.552,256.0343,259.956,53839300.0,253379291.6,3.0,0.367402,1.0,-1.508601,0.0,0.0,0.0,0.0,0.0
2026-03-24,sh.000003,256.3156,259.3126,256.3156,259.3126,256.0343,28268800.0,97616560.4,3.0,0.192908,1.0,1.280414,0.0,0.0,0.0,0.0,0.0
2026-03-25,sh.000003,259.256,262.4594,258.9319,262.1901,259.3126,36545400.0,129678003.5,3.0,0.249387,1.0,1.109665,0.0,0.0,0.0,0.0,0.0
2026-03-26,sh.000003,261.702,262.4891,260.8237,261.6127,262.1901,29088100.0,99131386.3,3.0,0.198499,1.0,-0.220222,0.0,0.0,0.0,0.0,0.0
2026-03-27,sh.000003,261.4619,264.1599,261.1221,263.805,261.6127,31844800.0,154390310.6,3.0,0.217311,1.0,0.837994,0.0,0.0,0.0,0.0,0.0
2026-03-30,sh.000003,264.0523,264.7141,263.0876,264.4693,263.805,46218000.0,185650720.3,3.0,0.315394,1.0,0.251815,0.0,0.0,0.0,0.0,0.0
2026-03-31,sh.000003,264.9209,265.3738,261.8983,262.1449,264.4693,32675300.0,157951708.7,3.0,0.222978,1.0,-0.878892,0.0,0.0,0.0,0.0,0.0
2026-04-01,sh.000003,262.6727,265.4854,262.6727,265.4677,262.1449,28840100.0,126935872.0,3.0,0.196806,1.0,1.267543,0.0,0.0,0.0,0.0,0.0
2026-04-02,sh.000003,265.6765,265.8215,264.2569,264.9033,265.4677,19347800.0,94034760.7,3.0,0.13203,1.0,-0.212606,0.0,0.0,0.0,0.0,0.0
2026-04-03,sh.000003,265.1178,265.2844,262.5203,263.6538,264.9033,23988300.0,114318877.1,3.0,0.163697,1.0,-0.471682,0.0,0.0,0.0,0.0,0.0
2026-04-07,sh.000003,263.5245,263.9885,262.2757,263.5791,263.6538,17319900.0,88028943.2,3.0,0.118192,1.0,-0.028333,0.0,0.0,0.0,0.0,0.0
2026-04-08,sh.000003,263.0568,265.5947,263.0125,265.5859,263.5791,43332600.0,240646875.4,3.0,0.295704,1.0,0.761365,0.0,0.0,0.0,0.0,0.0
2026-04-09,sh.000003,265.2783,265.8007,264.4979,265.4215,265.5859,21208100.0,96968503.8,3.0,0.144725,1.0,-0.061901,0.0,0.0,0.0,0.0,0.0
2026-04-10,sh.000003,265.6834,266.9191,265.6834,266.2554,265.4215,20827000.0,88981245.6,3.0,0.142125,1.0,0.31418,0.0,0.0,0.0,0.0,0.0
2026-04-13,sh.000003,265.9763,266.9787,265.0064,265.0118,266.2554,19710800.0,109645944.0,3.0,0.134507,1.0,-0.46707,0.0,0.0,0.0,0.0,0.0
2026-04-14,sh.000003,265.9846,266.6899,265.3964,266.4359,265.0118,23013600.0,104241370.7,3.0,0.157046,1.0,0.537372,0.0,0.0,0.0,0.0,0.0
2026-04-15,sh.000003,267.456,268.2353,267.0267,267.1838,266.4359,24312800.0,116797926.4,3.0,0.165912,1.0,0.280705,0.0,0.0,0.0,0.0,0.0
2026-04-16,sh.000003,267.0092,269.4026,267.0092,269.4009,267.1838,25276200.0,105539480.5,3.0,0.172486,1.0,0.829803,0.0,0.0,0.0,0.0,0.0
2026-04-17,sh.000003,269.409,269.5673,268.4856,269.2675,269.4009,23633300.0,103461571.1,3.0,0.161275,1.0,-0.049517,0.0,0.0,0.0,0.0,0.0
2026-04-20,sh.000003,269.2568,269.6414,268.9533,269.4666,269.2675,17833800.0,84499971.0,3.0,0.121699,1.0,0.073941,0.0,0.0,0.0,0.0,0.0
2026-04-21,sh.000003,269.4522,269.7723,268.6552,269.7418,269.4666,21849100.0,112724460.4,3.0,0.149099,1.0,0.102128,0.0,0.0,0.0,0.0,0.0
