date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2026-02-10,sh.000009,7270.7301,7285.4569,7230.1271,7270.8177,7261.6337,9818439300.0,198594995672.0,3.0,1.371289,1.0,0.126473,0.0,0.0,0.0,0.0,0.0
2026-02-11,sh.000009,7256.2373,7321.9703,7256.2373,7285.8307,7270.8177,10036507800.0,187695756391.0,3.0,1.401746,1.0,0.206483,0.0,0.0,0.0,0.0,0.0
2026-02-12,sh.000009,7297.1448,7367.9981,7280.3602,7356.4539,7285.8307,10528189000.0,207582573764.0,3.0,1.470416,1.0,0.969323,0.0,0.0,0.0,0.0,0.0
2026-02-13,sh.000009,7317.6365,7341.7927,7238.8098,7245.6081,7356.4539,10228721900.0,193416213870.0,3.0,1.428583,1.0,-1.506783,0.0,0.0,0.0,0.0,0.0
2026-02-24,sh.000009,7344.7605,7382.1083,7282.8414,7341.0433,7245.6081,12111232200.0,225592462168.0,3.0,1.691502,1.0,1.317145,0.0,0.0,0.0,0.0,0.0
2026-02-25,sh.000009,7351.876,7464.7266,7350.954,7440.5385,7341.0433,15080173000.0,260197749926.0,3.0,2.10606,1.0,1.355328,0.0,0.0,0.0,0.0,0.0
2026-02-26,sh.000009,7450.5365,7484.9892,7419.5549,7469.0077,7440.5385,13961228100.0,262222542916.0,3.0,1.949709,1.0,0.382623,0.0,0.0,0.0,0.0,0.0
2026-02-27,sh.000009,7424.5584,7548.1162,7424.5584,7548.1162,7469.0077,16121361900.0,258824323312.0,3.0,2.251376,1.0,1.059157,0.0,0.0,0.0,0.0,0.0
2026-03-02,sh.000009,7501.2081,7587.6561,7478.5411,7564.1422,7548.1162,20536237100.0,338104490969.0,3.0,2.865955,1.0,0.212318,0.0,0.0,0.0,0.0,0.0
2026-03-03,sh.000009,7569.2655,7578.9579,7268.9593,7281.322,7564.1422,20748935600.0,357242852385.0,3.0,2.895409,1.0,-3.738959,0.0,0.0,0.0,0.0,0.0
2026-03-04,sh.000009,7189.7295,7336.3799,7189.7295,7245.0378,7281.322,17856954200.0,284452378846.0,3.0,2.491847,1.0,-0.498319,0.0,0.0,0.0,0.0,0.0
2026-03-05,sh.000009,7352.641,7359.9894,7251.6401,7293.2041,7245.0378,15239683500.0,275924569103.0,3.0,2.126398,1.0,0.664818,0.0,0.0,0.0,0.0,0.0
2026-03-06,sh.000009,7255.7375,7361.5088,7249.879,7338.3415,7293.2041,13922610200.0,250924898405.0,3.0,1.942519,1.0,0.618897,0.0,0.0,0.0,0.0,0.0
2026-03-09,sh.000009,7243.0664,7276.0853,7095.4508,7250.3866,7338.3415,17860809400.0,303430837220.0,3.0,2.491987,1.0,-1.198566,0.0,0.0,0.0,0.0,0.0
2026-03-10,sh.000009,7287.0355,7352.8211,7287.0355,7350.3062,7250.3866,14323224700.0,254979136439.0,3.0,1.998413,1.0,1.378128,0.0,0.0,0.0,0.0,0.0
2026-03-11,sh.000009,7356.8021,7367.2653,7320.26,7348.5469,7350.3062,16033733500.0,267301615070.0,3.0,2.237032,1.0,-0.023935,0.0,0.0,0.0,0.0,0.0
2026-03-12,sh.000009,7346.2999,7379.1418,7280.4654,7335.8706,7348.5469,18277197600.0,271340900417.0,3.0,2.550039,1.0,-0.172501,0.0,0.0,0.0,0.0,0.0
2026-03-13,sh.000009,7303.911,7353.7088,7214.9427,7234.4078,7335.8706,18051766500.0,272359398305.0,3.0,2.517431,1.0,-1.383105,0.0,0.0,0.0,0.0,0.0
2026-03-16,sh.000009,7225.3344,7233.743,7086.7024,7177.6772,7234.4078,15642620700.0,253029574534.0,3.0,2.181419,1.0,-0.784178,0.0,0.0,0.0,0.0,0.0
2026-03-17,sh.000009,7185.3497,7197.9722,7045.2049,7045.2459,7177.6772,14532544300.0,230170104524.0,3.0,2.026616,1.0,-1.845044,0.0,0.0,0.0,0.0,0.0
2026-03-18,sh.000009,7060.9388,7098.7531,6985.8269,7091.0902,7045.2459,12780970500.0,210727929993.0,3.0,1.782352,1.0,0.650713,0.0,0.0,0.0,0.0,0.0
2026-03-19,sh.000009,7000.3314,7019.9248,6889.5959,6916.0454,7091.0902,13870412600.0,217218232246.0,3.0,1.934279,1.0,-2.468517,0.0,0.0,0.0,0.0,0.0
2026-03-20,sh.000009,6937.9439,6971.5635,6825.8786,6827.4608,6916.0454,13400271700.0,224812312304.0,3.0,1.868716,1.0,-1.280856,0.0,0.0,0.0,0.0,0.0
2026-03-23,sh.000009,6720.1228,6782.0431,6527.9916,6565.6388,6827.4608,16916483100.0,257181475347.0,3.0,2.359061,1.0,-3.834837,0.0,0.0,0.0,0.0,0.0
2026-03-24,sh.000009,6656.7775,6699.6359,6513.0259,6699.6359,6565.6388,14269365700.0,226529213754.0,3.0,1.989912,1.0,2.040884,0.0,0.0,0.0,0.0,0.0
