============================================================
  策略回测报告: ma_cross  (synthetic)
============================================================

## 绩效指标
总收益率    -19.66%
年化收益     -8.79%
最大回撤    -46.69%
夏普比率      -0.23
胜率       31.58%
盈亏比        0.61
交易次数         39

## 交易记录(共 39 笔)
      date side     price  shares   cash_after          pnl reason
2021-01-08  buy 10.835491    9200   283.575388     0.000000 signal
2021-01-13 sell 10.158225    9200 93617.755602 -6382.244398 signal
2021-01-21  buy 10.685562    8700   625.475756     0.000000 signal
2021-02-08 sell 10.433807    8700 91281.590567 -2336.165035 signal
2021-03-01  buy 10.462156    8700   233.529440     0.000000 signal
2021-03-15 sell  9.958356    8700 86758.598886 -4522.991681 signal
2021-03-19  buy 10.635724    8100   583.388350     0.000000 signal
2021-04-08 sell 10.531194    8100 85775.165882  -983.433004 signal
2021-04-23  buy 10.634952    8000   670.022778     0.000000 signal
2021-05-21 sell 10.692169    8000 86096.178613   321.012731 signal
2021-06-23  buy 10.692511    8000   530.429084     0.000000 signal
2021-07-08 sell  9.664857    8000 77748.772608 -8347.406005 signal
2021-07-20  buy 10.634981    7300    90.119090     0.000000 signal
2021-08-23 sell 11.170718    7300 81530.346824  3781.574216 signal
2021-08-30  buy 12.257739    6600   605.001644     0.000000 signal
2021-09-20 sell 12.221581    6600 81162.573172  -367.773652 signal
2021-09-29  buy 12.940393    6200   908.068468     0.000000 signal
2021-10-25 sell 12.445513    6200 77969.937077 -3192.636096 signal
2021-12-27  buy 10.586525    7300   665.118839     0.000000 signal
2021-12-30 sell 10.115544    7300 74412.592947 -3557.344129 signal
2022-01-26  buy 10.152553    7300   276.721927     0.000000 signal
2022-01-27 sell  9.947052    7300 72795.800560 -1616.792388 signal
2022-04-08  buy  7.149526   10100   563.928370     0.000000 signal
2022-04-12 sell  6.966172   10100 70830.803379 -1964.997181 signal
2022-05-02  buy  7.410184    9500   412.934762     0.000000 signal
2022-05-19 sell  6.852309    9500 65425.242584 -5405.560795 signal
2022-06-03  buy  7.462990    8700   477.747928     0.000000 signal
2022-07-06 sell  6.883203    8700 60283.765386 -5141.477198 signal
2022-07-25  buy  7.286476    8200   516.735390     0.000000 signal
2022-08-01 sell  6.837393    8200 56510.472116 -3773.293270 signal
2022-08-05  buy  7.582900    7400   380.176284     0.000000 signal
2022-08-25 sell  7.598068    7400 56532.787191    22.315075 signal
2022-08-29  buy  7.827663    7200   156.709044     0.000000 signal
2022-09-23 sell  8.077875    7200 58241.799798  1709.012607 signal
2022-11-21  buy  7.064121    8200   298.627583     0.000000 signal
2022-12-30 sell  7.633454    8200 62811.573854  4569.774056 signal
2023-01-26  buy  7.751989    8100     1.628357     0.000000 signal
2023-03-09 sell 10.083864    8100 81574.739640 18763.165786 signal
2023-04-06  buy  9.902028    8200   353.749801     0.000000 signal
