============================================================
  策略回测报告: ma_cross  (TEST)
============================================================

## 绩效指标
总收益率    -2.51%
年化收益    -3.16%
最大回撤    -8.48%
夏普比率     -0.26
胜率      20.00%
盈亏比       0.70
交易次数        10

## 交易记录(共 10 笔)
      date side     price  shares    cash_after          pnl reason
2023-02-03  buy 10.090030    9900     78.739142     0.000000 signal
2023-02-09 sell  9.810170    9900  97073.166569 -2926.833431 signal
2023-03-14  buy  9.746230    9900    556.539850     0.000000 signal
2023-03-31 sell  9.713124    9900  96591.461916  -481.704653 signal
2023-04-18  buy  9.608085   10000    481.785621     0.000000 signal
2023-07-11 sell 10.201666   10000 102365.823450  5774.361534 signal
2023-08-15  buy  9.546840   10700    183.990887     0.000000 signal
2023-08-30 sell  9.407612   10700 100714.574774 -1651.248675 signal
2023-09-28  buy  9.453519   10600    477.214953     0.000000 signal
2023-09-29 sell  9.163635   10600  97485.475977 -3229.098797 signal
